"PROGRAMA_ORIGEN";"PROGRAMA_USADO"
"A_CSTCAD";"A_MZONAL"
"A_CSTCAD";"A_MSITST"
"A_CSTCAD";"A_MSITST"
"A_CSTKAR";"A_MZONAL"
"A_CSTKAR";"A_MARTIC"
"A_CSTKAR";"A_MCOESA"
"A_CSTKAR";"A_MARTIC"
"A_CSTKAR";"A_MALMAC"
"A_CSTKAR";"A_MALMAC"
"A_CSTKAR";"A_MARTIC"
"A_CSTKAR";"A_MSITST"
"A_CSTKAR";"A_MCOESA"
"A_CSTKAR";"A_MZONAL"
"A_CSTKAR";"A_MARTIC"
"A_CSTKAR";"A_MARTIC"
"A_CSTKAR";"A_MSITST"
"A_CSTKCD";"A_MARTIC"
"A_CSTKCD";"A_MARTIC"
"A_CSTKCD";"A_MALMAC"
"A_CSTKCD";"A_MALMAC"
"A_CSTKCD";"A_MCOESA"
"A_CSTKCD";"A_MCOESA"
"A_CSTKCD";"A_MARTIC"
"A_CSTKCD";"A_MZONAL"
"A_CSTKCD";"A_MSITST"
"A_CSTKCD";"A_MSITST"
"A_CSTKCD";"A_MZONAL"
"A_CSTKCD";"A_MARTIC"
"A_CSTKCD";"A_MARTIC"
"A_CSTMIN";"A_MCOESA"
"A_CSTMIN";"A_MARTIC"
"A_CSTMIN";"A_MSITST"
"A_CSTMIN";"A_MSITST"
"A_CSTMIN";"A_MALMAC"
"A_CSTMIN";"A_MCOESA"
"A_CSTMIN";"A_MARTIC"
"A_CSTSTK";"A_MARTIC"
"A_CSTSTK";"A_MALMAC"
"A_CSTSTK";"A_MALMAC"
"A_CSTSTK";"A_GRUSIT"
"A_CSTSTK";"A_MARTIC"
"A_CSTVAL";"A_MZONAL"
"A_CSTVAL";"A_MARTIC"
"A_CSTVAL";"A_MALMAC"
"A_CSTVAL";"A_MARTIC"
"A_CSTVAL";"A_MCOESA"
"A_CSTVAL";"A_GRUSIT"
"A_CSTVAL";"A_GRUSIT"
"A_CSTVAL";"A_MCOESA"
"A_CSTVAL";"A_MZONAL"
"ACT_EMP";"CLIENTES"
"ACT_EMP";"TIPOSCLI"
"ACT_EMP";"A_MORCME"
"ACTMAREACC";"MGRUPCEN"
"ACTMAREACC";"A_MSEGME"
"ACTMAREACC";"ASIENPRE"
"ACTMAREACC";"PERIODOS"
"ACTMAREACC";"PERIODOS"
"ACTMAREACC";"CARASIEN"
"ACTMAREACC";"CENCOSTE"
"ACTMAREACC";"CUENTAS"
"ACTMAREACC";"CUENTAS"
"ACTMAREACC";"CUENTAS"
"ACTMAREACC";"A_MSEGME"
"A_CTRGAR";"A_MORCME"
"A_CTRGAR";"CLIENTES"
"ACTTAR";"A_MORCME"
"ACTTAR";"A_MALMAC"
"A_CUBARA";"A_MARTIC"
"A_CUBARA";"A_MARTIC"
"A_CUBARA";"A_MALMAC"
"A_CUBARA";"A_MALMAC"
"A_CUBILO";"A_MALMAC"
"A_CUBILO";"A_MARTIC"
"A_CUBILO";"A_MZONAL"
"A_CUBILO";"A_MZONAL"
"A_CUBILO";"A_MALMAC"
"A_CUBISE";"A_MARTIC"
"A_CUBISE";"A_MTIPMO"
"ACUCENTR";"CARASIEN"
"ACUCENTR";"CARASIEN"
"ACUCENTR";"CUENTAS"
"ACUCENTR";"MGRUPCEN"
"ACUCLIE";"MGRUPCEN"
"ACUCLIE";"CUENTAS"
"ACUCLIE";"DIVISAS"
"ACUCLIE";"CLIENTES"
"ACUCLIE";"CARASIEN"
"ACUPRO";"PROVEED"
"ACUPRO";"CARASIEN"
"ACUPRO";"CUENTAS"
"ACUPRO";"MGRUPCEN"
"A_DEPPRO";"A_MARTIC"
"A_DEPPRO";"A_MZONAL"
"A_DEPPRO";"PROVEED"
"A_DEPPRO";"A_MALMAC"
"A_DEPPRO";"A_MZONAL"
"A_DEPPRO";"PROVEED"
"A_DEPPRO";"A_MALMAC"
"A_DEPPRO";"A_MARTIC"
"A_DEPRAR";"A_MARTIC"
"A_DEPRAR";"PROVEED"
"A_DEPRAR";"PROVEED"
"A_DEPRAR";"A_MALMAC"
"A_DEPRAR";"A_MALMAC"
"A_DEPRAR";"A_MZONAL"
"A_DEPRAR";"A_MZONAL"
"A_DEPRAR";"A_MARTIC"
"A_DESEVDI";"A_MZONAL"
"A_DESEVDI";"A_MALMAC"
"A_DESEVDI";"CARASIEN"
"A_DEVDTO";"A_MCODMO"
"A_DEVDTO";"F_MTIPED"
"A_DEVDTO";"A_MORCME"
"A_DEVDTO";"FORMASCP"
"A_DEVDTO";"DIVISAS"
"A_DEVDTO";"A_MALMAC"
"A_DEVDTO";"CLIENTES"
"A_DEVDTO";"DOMPCLIE"
"A_DEVDTO";"CARASIEN"
"A_DEVENT";"A_MALMAC"
"A_DEVENT";"A_MSITST"
"A_DEVENT";"F_MATRIC"
"A_DEVENT";"DIVISAS"
"A_DEVENT";"A_MPRESE"
"A_DEVENT";"A_MORCME"
"A_DEVENT";"A_MZONAL"
"A_DEVENT";"CARASIEN"
"A_DEVENT";"F_MTIPED"
"A_DEVENT";"C_EXPIMP"
"A_DEVENT";"CLIENTES"
"A_DEVENT";"A_MARTIC"
"A_DEVENT";"AGENTES"
"A_DEVENT";"DOMENVIO"
"A_DEVENT";"CLI_CONT"
"A_DEVENT";"A_MCODMO"
"A_DEVENT";"C_PUTOP"
"A_DEVENT";"C_PUTOP"
"A_DEVENT";"PROVEED"
"A_DEVENT";"FORMAPA"
"A_DEVENT";"DOMPCLIE"
"A_DEVENT";"FORMASCP"
"A_DPCODB";"A_MARTIC"
"A_DPCODB";"A_MARTIC"
"A_DPCODB";"A_MSCODB"
"A_DPCODB";"A_MSCODB"
"A_DPCODB";"A_MSCODB"
"ADUANAS";"ESTAPROV"
"A_DUPCAR_ART";"A_MARTIC"
"A_DUPCAR_ART";"A_MARTIC"
